condition_id,condition_role,E_start,E_end,frequency_hz,amplitude_v,cycles,points_per_cycle,n_points,duration_s,scan_rate_v_s
existing_ft2,existing,1.124097282692384,1.6229037173683536,4.999999877927828,0.1599992571304022,256,128,32768,51.20000125001907,0.009742312939411964
existing_ft3,existing,0.924097277474612,1.9229037265531128,4.999999877927828,0.15999925452484762,256,128,32768,51.20000125001907,0.019507937982289187
existing_ft4,existing,0.9240972872232194,1.9229036972968654,1.0000000146486612,0.15999925452486063,256,128,32768,255.9999962499428,0.0039015875965032138
existing_ft8,existing,0.9240972768661625,1.8229037207529302,4.999999877927828,0.1599992598993544,256,128,32768,51.20000125001907,0.017554812928572593
candidate_1hz_matched_scan,candidate,0.924097277474612,1.9229037265531128,1.0,0.16,52,128,6656,52.0,0.019207816328432707
candidate_10hz_matched_scan,candidate,0.924097277474612,1.9229037265531128,10.0,0.16,512,128,65536,51.2,0.019507938458564467
candidate_5hz_amp_008,candidate,0.924097277474612,1.9229037265531128,5.0,0.08,256,128,32768,51.2,0.019507938458564467
candidate_5hz_amp_024,candidate,0.924097277474612,1.9229037265531128,5.0,0.24,256,128,32768,51.2,0.019507938458564467
candidate_5hz_fast_scan,candidate,0.924097277474612,1.9229037265531128,5.0,0.16,128,128,16384,25.6,0.03901587691712893
