dataset,variant,harmonic,f0_hz,scan_rate_v_s,reference_relative_strength,resolved,amplitude_nrmse,phase_rmse_rad,peak_shift_v,peak_comparable,common_valid_fraction,independent_potential_intervals,reference_effective_resolution_v,candidate_effective_resolution_v,reference_n_effective,candidate_n_effective
FT2,downsample_2x,1,4.999999877927828,0.009742461597578432,1.0,True,4.875673594238548e-05,9.207610336427622e-05,0.0,False,1.0,13,0.019484923670870253,0.019484923670870253,51,51
FT2,downsample_2x,2,4.999999877927828,0.009742461597578432,0.28325921284596284,True,0.00012333548694280945,0.00019999446224741314,0.0,False,1.0,13,0.019484923670870253,0.019484923670870253,51,51
FT2,downsample_2x,3,4.999999877927828,0.009742461597578432,0.14324642457788195,True,0.00014584321708133044,0.00019341028933519248,0.0,False,1.0,13,0.019484923670870253,0.019484923670870253,51,51
FT2,downsample_2x,4,4.999999877927828,0.009742461597578432,0.08412557815089892,True,0.00034765396894017794,0.00023652047919234769,0.0,False,1.0,13,0.019484923670870253,0.019484923670870253,51,51
FT2,downsample_2x,5,4.999999877927828,0.009742461597578432,0.03271026437083027,True,0.0005042140343318392,0.00033456297309133754,0.0,True,1.0,13,0.019484923670870253,0.019484923670870253,51,51
FT2,downsample_2x,6,4.999999877927828,0.009742461597578432,0.019726068470366887,False,0.0005179715452321696,0.001407562180502088,0.0,True,1.0,13,0.019484923670870253,0.019484923670870253,51,51
FT2,downsample_2x,7,4.999999877927828,0.009742461597578432,0.014197675184441063,False,0.0005987390474867169,0.001422828871239581,0.0,True,1.0,13,0.019484923670870253,0.019484923670870253,51,51
FT2,downsample_4x,1,4.999999877927828,0.009742461597578432,1.0,True,0.00018846249181933713,0.0002959678595000795,0.0,False,1.0,13,0.019484923670870253,0.019484923670870253,51,51
FT2,downsample_4x,2,4.999999877927828,0.009742461597578432,0.28325921284596284,True,0.0004183410782149019,0.0006060376276005597,0.0,False,1.0,13,0.019484923670870253,0.019484923670870253,51,51
FT2,downsample_4x,3,4.999999877927828,0.009742461597578432,0.14324642457788195,True,0.0003743536829409783,0.0006172805152300067,0.0,False,1.0,13,0.019484923670870253,0.019484923670870253,51,51
FT2,downsample_4x,4,4.999999877927828,0.009742461597578432,0.08412557815089892,True,0.0004873083927267012,0.0007724862774609639,0.0,False,1.0,13,0.019484923670870253,0.019484923670870253,51,51
FT2,downsample_4x,5,4.999999877927828,0.009742461597578432,0.03271026437083027,True,0.0003532664922830436,0.0009558139900107487,0.0,True,1.0,13,0.019484923670870253,0.019484923670870253,51,51
FT2,downsample_4x,6,4.999999877927828,0.009742461597578432,0.019726068470366887,False,0.0003957245579491705,0.003565413686850483,0.0,True,1.0,13,0.019484923670870253,0.019484923670870253,51,51
FT2,downsample_4x,7,4.999999877927828,0.009742461597578432,0.014197675184441063,False,0.0007576206356118328,0.0014524649964635797,0.0,True,1.0,13,0.019484923670870253,0.019484923670870253,51,51
FT2,trim_end_10pct,1,4.999999877927828,0.009742461597578432,1.0,True,0.0004910457270456319,0.0007459497303224878,0.0,False,0.8558544848109874,11,0.019484923670870253,0.019484923670870253,51,46
FT2,trim_end_10pct,2,4.999999877927828,0.009742461597578432,0.28325921284596284,True,0.0024204035366625328,0.005875842919609443,0.0,True,0.8558544848109874,11,0.019484923670870253,0.019484923670870253,51,46
FT2,trim_end_10pct,3,4.999999877927828,0.009742461597578432,0.14324642457788195,True,0.001902879287515674,0.007504561525774559,0.0,True,0.8558544848109874,11,0.019484923670870253,0.019484923670870253,51,46
FT2,trim_end_10pct,4,4.999999877927828,0.009742461597578432,0.08412557815089892,True,0.0041113841236289006,0.007059401483506292,0.0,False,0.8558544848109874,11,0.019484923670870253,0.019484923670870253,51,46
FT2,trim_end_10pct,5,4.999999877927828,0.009742461597578432,0.03271026437083027,True,0.0040813035720486425,0.002545374166337596,0.0,True,0.8558544848109874,11,0.019484923670870253,0.019484923670870253,51,46
FT2,trim_end_10pct,6,4.999999877927828,0.009742461597578432,0.019726068470366887,False,0.006142022635006659,0.013777466097950034,0.0,True,0.8558544848109874,11,0.019484923670870253,0.019484923670870253,51,46
FT2,trim_end_10pct,7,4.999999877927828,0.009742461597578432,0.014197675184441063,False,0.007120330961090949,0.014325400286347668,0.0,True,0.8558544848109874,11,0.019484923670870253,0.019484923670870253,51,46
FT2,trim_start_10pct,1,4.999999877927828,0.009742461597578432,1.0,True,0.0007957445090419761,0.000630930377763151,0.0,False,0.8558684093313378,11,0.019484923670870253,0.019484923670870253,51,46
FT2,trim_start_10pct,2,4.999999877927828,0.009742461597578432,0.28325921284596284,True,0.001663891302863139,0.0015882812714119385,0.0,False,0.8558684093313378,11,0.019484923670870253,0.019484923670870253,51,46
FT2,trim_start_10pct,3,4.999999877927828,0.009742461597578432,0.14324642457788195,True,0.0012636335449152333,0.003645936837974854,0.0,False,0.8558684093313378,11,0.019484923670870253,0.019484923670870253,51,46
FT2,trim_start_10pct,4,4.999999877927828,0.009742461597578432,0.08412557815089892,True,0.0013079061592433392,0.0030465156252495133,0.0,False,0.8558684093313378,11,0.019484923670870253,0.019484923670870253,51,46
FT2,trim_start_10pct,5,4.999999877927828,0.009742461597578432,0.03271026437083027,True,0.002519496513996158,0.009845116518207648,0.0,True,0.8558684093313378,11,0.019484923670870253,0.019484923670870253,51,46
FT2,trim_start_10pct,6,4.999999877927828,0.009742461597578432,0.019726068470366887,False,0.0030751671264840174,0.006086811348441397,0.0,True,0.8558684093313378,11,0.019484923670870253,0.019484923670870253,51,46
FT2,trim_start_10pct,7,4.999999877927828,0.009742461597578432,0.014197675184441063,False,0.004230429439078092,0.018714299303137127,0.0,True,0.8558684093313378,11,0.019484923670870253,0.019484923670870253,51,46
FT3,downsample_2x,1,4.999999877927828,0.019508235654342017,1.0,True,6.982488955872685e-06,5.306910406589616e-05,0.0,False,1.0,31,0.025,0.025,79,79
FT3,downsample_2x,2,4.999999877927828,0.019508235654342017,0.2912875179004203,True,0.00010948280833097707,0.000138162141823597,0.0,True,1.0,31,0.025,0.025,79,79
FT3,downsample_2x,3,4.999999877927828,0.019508235654342017,0.04814030751546991,True,0.00022126477559392108,0.0002241791777967569,0.0,True,1.0,31,0.025,0.025,79,79
FT3,downsample_2x,4,4.999999877927828,0.019508235654342017,0.01080579110645468,False,0.00030459068553222884,0.0006497598283332029,0.0,True,1.0,31,0.025,0.025,79,79
FT3,downsample_2x,5,4.999999877927828,0.019508235654342017,0.003917108626258727,False,0.00043537362279268463,0.0013836276439856876,0.0,True,1.0,31,0.025,0.025,79,79
FT3,downsample_2x,6,4.999999877927828,0.019508235654342017,0.0018793667252929773,False,0.0005365878502760906,0.0015343875798423457,0.0,True,1.0,31,0.025,0.025,79,79
FT3,downsample_2x,7,4.999999877927828,0.019508235654342017,0.0010615102012596466,False,0.0006053673195873089,0.0015576458431949688,0.0,True,1.0,31,0.025,0.025,79,79
FT3,downsample_4x,1,4.999999877927828,0.019508235654342017,1.0,True,5.4308191336353034e-05,0.00017722728978158598,0.0,False,1.0,31,0.025,0.025,79,79
FT3,downsample_4x,2,4.999999877927828,0.019508235654342017,0.2912875179004203,True,0.00041662308592052533,0.0004339196299518909,0.0,True,1.0,31,0.025,0.025,79,79
FT3,downsample_4x,3,4.999999877927828,0.019508235654342017,0.04814030751546991,True,0.0005739492950620996,0.0007314796767638351,0.0,True,1.0,31,0.025,0.025,79,79
FT3,downsample_4x,4,4.999999877927828,0.019508235654342017,0.01080579110645468,False,0.0004337308820770178,0.0018906622460935765,0.0,True,1.0,31,0.025,0.025,79,79
FT3,downsample_4x,5,4.999999877927828,0.019508235654342017,0.003917108626258727,False,0.0003666511184923776,0.004090221983935066,0.0,True,1.0,31,0.025,0.025,79,79
FT3,downsample_4x,6,4.999999877927828,0.019508235654342017,0.0018793667252929773,False,0.0005943057749498671,0.002911676236031488,0.0,True,1.0,31,0.025,0.025,79,79
FT3,downsample_4x,7,4.999999877927828,0.019508235654342017,0.0010615102012596466,False,0.0009854594487208321,0.003986251522996821,0.0,True,1.0,31,0.025,0.025,79,79
FT3,trim_end_10pct,1,4.999999877927828,0.019508235654342017,1.0,True,0.001155573714144035,0.0008785528669421643,0.0,False,0.8755857033875691,27,0.025,0.025,79,71
FT3,trim_end_10pct,2,4.999999877927828,0.019508235654342017,0.2912875179004203,True,0.0009790861373011406,0.0015643521386628212,0.0,False,0.8755857033875691,27,0.025,0.025,79,71
FT3,trim_end_10pct,3,4.999999877927828,0.019508235654342017,0.04814030751546991,True,0.0013406288463509517,0.003007539931819276,0.0,True,0.8755857033875691,27,0.025,0.025,79,71
FT3,trim_end_10pct,4,4.999999877927828,0.019508235654342017,0.01080579110645468,False,0.001272753418217514,0.0065096053133209845,0.0,True,0.8755857033875691,27,0.025,0.025,79,71
FT3,trim_end_10pct,5,4.999999877927828,0.019508235654342017,0.003917108626258727,False,0.0023092541439580136,0.06722310488168642,0.0,True,0.8755857033875691,27,0.025,0.025,79,71
