dataset_id,channel,segment,ensemble_size,valid_candidate_count,signed_mean_median,signed_mean_q25,signed_mean_q75,positive_count,negative_count,direction_class,nearest_candidate_id,nearest_signed_mean,nearest_within_iqr
FT3,lockin_phase_h3,mid,12,12,-0.14238345628838506,-0.5082105336565633,0.5036786389362811,6,6,candidate-dependent,484,-0.5416703265196708,False
FT4,dc,high,12,12,0.10160504219008201,0.07675966870368492,0.16690426000523556,12,0,ensemble sign-consistent,249,0.11983615799546218,True
FT4,dc,low,12,12,0.0019894532941959683,-0.001707909014102182,0.002907487193662508,7,5,candidate-dependent,249,0.0025980247553456888,True
FT4,dc,mid,12,12,0.11122733072954138,0.0785967705186998,0.14845412763238547,12,0,ensemble sign-consistent,249,0.12187971151179586,True
FT4,global_amplitude_h1,global,12,12,0.0769208565831741,-0.9325519177035371,0.8016038163433852,6,6,candidate-dependent,249,0.4675637481010663,True
FT4,global_amplitude_h2,global,12,12,0.015909147806598634,-0.6255427903243653,0.7299410065218842,6,6,candidate-dependent,249,0.33390381129346935,True
FT4,global_amplitude_h3,global,12,12,-0.05293953556786231,-0.20842207244472047,0.4589172938476888,5,7,candidate-dependent,249,-0.025815204271564328,True
FT4,global_phase_h1,global,12,12,-0.017052671343262493,-0.255723325939892,0.059610117672106944,5,7,candidate-dependent,249,-0.020790805866094605,True
FT4,global_phase_h2,global,12,12,-0.07286866138266279,-0.12512950697862113,-0.04188317460671298,2,10,ensemble sign-consistent,249,-0.2030730661877409,False
FT4,global_phase_h3,global,12,12,-0.08601374839344522,-0.2727714978724761,-0.003064367343697305,3,9,ensemble sign-consistent,249,-0.26600469700205776,True
FT4,lockin_amplitude_h1,high,12,0,,,,0,0,not-observable,249,,
FT4,lockin_amplitude_h1,low,12,0,,,,0,0,not-observable,249,,
FT4,lockin_amplitude_h1,mid,12,12,0.053533208537566546,-0.27254974645191515,0.2721828274994598,6,6,candidate-dependent,249,0.16905307817637769,True
FT4,lockin_amplitude_h2,high,12,0,,,,0,0,not-observable,249,,
FT4,lockin_amplitude_h2,low,12,0,,,,0,0,not-observable,249,,
