mode,grid,resolved_grid_size,candidate,candidate_hash,ode_success,total_loss,loss_dc,loss_common_harmonics,loss_dataset_specific_harmonics,loss_phase,loss_lockin_common_amplitude,loss_lockin_dataset_specific_amplitude,loss_lockin_common_phase,loss_lockin_dataset_specific_phase,loss_physical,common_dc_rmse,common_h1_h3_rmse,runtime_s
complex_snr,128,128,0,6288eb00096df52f01702bfff6520e0301faa8ec76d0df671b2766639e796c69,True,54.98988056028695,438.8056266750193,55.968259373880976,0.0,0.1350389936822729,0.0,0.0,0.0,0.0,0.0,0.4189537571976265,0.4193819523820274,23.59934523499942
complex_snr,128,128,1,fe5e2d68efbbd427d1e5758f6c4f3fff76ff4b1ff6d997065c8620a8c6d5289d,True,27.760466731715226,109.81001831754588,140.00265215967653,0.0,0.03153010821460628,0.0,0.0,0.0,0.0,0.0,0.20958055092736624,0.4208226293143299,25.15649857199969
complex_snr,128,128,2,174300ec1a013a591ce646889491b6af4798c8a3cab57da1c85c6b7d1cdfd9af,True,30.239752801427535,120.78891451622526,151.20575702207893,0.0,0.16310367454358354,0.0,0.0,0.0,0.0,0.0,0.21980802034159289,0.544398708148605,18.355301206999684
complex_snr,128,128,3,42260e995b534ce1a72018cdffb276d400042f272d0125c313d0428e6f1c7cbf,True,2.8932809964744015,25.442645221875893,0.596580489071798,0.0,0.00030325732192310853,0.0,0.0,0.0,0.0,0.0,0.10088140606053406,0.35922698615055393,23.27338603499993
complex_snr,128,128,4,ea3512ce51f789191da95b138c6ba1423559a7406013fc7a5b62f3095d81c86f,True,14.684025191147754,30.432859636924917,101.68893145527163,0.0,0.03443562813325708,0.0,0.0,0.0,0.0,0.0,0.11033197113606721,0.47496223751604133,31.228947008000432
complex_snr,128,128,5,26f69229e5b713901edf5ee48e8e2234e3a7299878c7ec280d66e40406739e8f,True,34.85378281484762,260.6901688946359,52.97965585131136,0.0,0.01422058768127558,0.0,0.0,0.0,0.0,0.0,0.3229180508393025,0.41538395029296876,23.836782729999868
complex_snr,128,128,6,7c7bd5d68428a96d517e3371b1ae697721e7575d8615ebaecec06a63b4011794,True,4.8198395618943595,2.1419476961413633,41.23595896235071,0.0,0.0006493985571643265,0.0,0.0,0.0,0.0,0.0,0.029270788825321147,0.29007487534158405,25.99623042100029
complex_snr,128,128,7,14e9e552c2e2cd6df3d05527f6cdfe1fd38d2d0f6717d9837208956ec876d28f,True,14.132831642366126,26.195707144106194,100.99349092229406,0.0,0.006286714894882325,0.0,0.0,0.0,0.0,0.0,0.10236348400500286,0.4469209603173837,24.459026030000132
complex_snr,256,256,0,6288eb00096df52f01702bfff6520e0301faa8ec76d0df671b2766639e796c69,True,55.18198478987734,440.5345647413328,55.968259373880976,0.0,0.1350389936822729,0.0,0.0,0.0,0.0,0.0,0.41977830565255886,0.420154420457915,24.499688734999836
complex_snr,256,256,1,fe5e2d68efbbd427d1e5758f6c4f3fff76ff4b1ff6d997065c8620a8c6d5289d,True,27.808493216243644,110.24225667830167,140.00265215967653,0.0,0.03153010821460628,0.0,0.0,0.0,0.0,0.0,0.20999262527841464,0.42157881482462556,25.64194744999986
complex_snr,256,256,2,174300ec1a013a591ce646889491b6af4798c8a3cab57da1c85c6b7d1cdfd9af,True,30.28171706962897,121.16659293003818,151.20575702207893,0.0,0.16310367454358354,0.0,0.0,0.0,0.0,0.0,0.22015139602558798,0.5452362148040525,19.067245674000333
complex_snr,256,256,3,42260e995b534ce1a72018cdffb276d400042f272d0125c313d0428e6f1c7cbf,True,2.90441141233202,25.54281896459446,0.596580489071798,0.0,0.00030325732192310853,0.0,0.0,0.0,0.0,0.0,0.10107980800257678,0.35990314568886567,24.90000406300078
complex_snr,256,256,4,ea3512ce51f789191da95b138c6ba1423559a7406013fc7a5b62f3095d81c86f,True,14.69733790651073,30.552674075191693,101.68893145527163,0.0,0.03443562813325708,0.0,0.0,0.0,0.0,0.0,0.1105489467614987,0.4758383974794465,35.46365857000001
complex_snr,256,256,5,26f69229e5b713901edf5ee48e8e2234e3a7299878c7ec280d66e40406739e8f,True,34.96793244230976,261.7175155417952,52.97965585131136,0.0,0.01422058768127558,0.0,0.0,0.0,0.0,0.0,0.32355371457722143,0.41617790291028073,24.44370645900017
complex_snr,256,256,6,7c7bd5d68428a96d517e3371b1ae697721e7575d8615ebaecec06a63b4011794,True,4.820776530115476,2.1503804101314086,41.23595896235071,0.0,0.0006493985571643265,0.0,0.0,0.0,0.0,0.0,0.02932835085804457,0.2905662749205296,26.377103625000018
complex_snr,256,256,7,14e9e552c2e2cd6df3d05527f6cdfe1fd38d2d0f6717d9837208956ec876d28f,True,14.144289902098782,26.298831481700088,100.99349092229406,0.0,0.006286714894882325,0.0,0.0,0.0,0.0,0.0,0.10256477266917736,0.4475166850060519,25.99219114799962
complex_snr,64,64,0,6288eb00096df52f01702bfff6520e0301faa8ec76d0df671b2766639e796c69,True,54.777409895612934,436.8933906929532,55.968259373880976,0.0,0.1350389936822729,0.0,0.0,0.0,0.0,0.0,0.4180398979489653,0.4177247848568762,23.81661503400028
complex_snr,64,64,1,fe5e2d68efbbd427d1e5758f6c4f3fff76ff4b1ff6d997065c8620a8c6d5289d,True,27.66428669101628,108.94439795125538,140.00265215967653,0.0,0.03153010821460628,0.0,0.0,0.0,0.0,0.0,0.20875286628092596,0.4192569002504213,24.29413986199961
complex_snr,64,64,2,174300ec1a013a591ce646889491b6af4798c8a3cab57da1c85c6b7d1cdfd9af,True,30.153732264161437,120.01472968083041,151.20575702207893,0.0,0.16310367454358354,0.0,0.0,0.0,0.0,0.0,0.21910246888689358,0.5426815589597419,18.735860347000198
complex_snr,64,64,3,42260e995b534ce1a72018cdffb276d400042f272d0125c313d0428e6f1c7cbf,True,2.876914985035437,25.29535111892521,0.596580489071798,0.0,0.00030325732192310853,0.0,0.0,0.0,0.0,0.0,0.10058896782237149,0.3574934848460854,22.999816176999957
complex_snr,64,64,4,ea3512ce51f789191da95b138c6ba1423559a7406013fc7a5b62f3095d81c86f,True,14.65737738771207,30.19302940600376,101.68893145527163,0.0,0.03443562813325708,0.0,0.0,0.0,0.0,0.0,0.10989636828576958,0.4731368239575691,31.46711191600025
complex_snr,64,64,5,26f69229e5b713901edf5ee48e8e2234e3a7299878c7ec280d66e40406739e8f,True,34.57104077970622,258.14549057836336,52.97965585131136,0.0,0.01422058768127558,0.0,0.0,0.0,0.0,0.0,0.3213381337957656,0.41367493440822417,22.550073072000487
complex_snr,64,64,6,7c7bd5d68428a96d517e3371b1ae697721e7575d8615ebaecec06a63b4011794,True,4.817964103985972,2.125068574965872,41.23595896235071,0.0,0.0006493985571643265,0.0,0.0,0.0,0.0,0.0,0.029155229890816314,0.2889287434604637,25.79488309899989
complex_snr,64,64,7,14e9e552c2e2cd6df3d05527f6cdfe1fd38d2d0f6717d9837208956ec876d28f,True,14.10989918974277,25.98931507049598,100.99349092229406,0.0,0.006286714894882325,0.0,0.0,0.0,0.0,0.0,0.10195943324773041,0.44579050960617833,23.991692952999983
