sample,harmonic,lsoda_success,cn_success,lsoda_time_s,cn_time_s,current_nrmse,dc_nrmse,global_relative_strength,global_resolved,lockin_relative_strength,lockin_resolved,global_amplitude_relative_error,global_phase_error_rad,lockin_amplitude_nrmse,lockin_phase_rmse_rad,peak_shift_v
0,1,True,True,5.441222479999993,0.09417050600001176,0.003082559868213097,0.0009285178067193486,1.0,True,1.0,True,6.408110698832151e-05,9.167727192049835e-05,0.00013426683249956784,0.00010240318196562387,0.0
0,2,True,True,5.441222479999993,0.09417050600001176,0.003082559868213097,0.0009285178067193486,0.08150915491984019,True,0.2617952374043947,True,0.00048689375030667905,0.000332462165985703,0.00010041158927815822,0.07217242698328655,0.0
0,3,True,True,5.441222479999993,0.09417050600001176,0.003082559868213097,0.0009285178067193486,0.040673473976106225,True,0.12972793968351412,True,0.0017374147573680327,2.7210332613769594e-05,0.0003671153235805374,0.11209510359042939,0.0
0,4,True,True,5.441222479999993,0.09417050600001176,0.003082559868213097,0.0009285178067193486,0.004819531946601273,False,0.08606511449494647,True,0.013796883704776153,5.592837584489363e-05,0.0006201601297136472,0.3083013072116227,0.0
0,5,True,True,5.441222479999993,0.09417050600001176,0.003082559868213097,0.0009285178067193486,0.0015099731155693598,False,0.0589521992526136,True,0.04049912947589723,0.00815789809003209,0.0009227167690008248,0.6247010516443015,0.0
0,6,True,True,5.441222479999993,0.09417050600001176,0.003082559868213097,0.0009285178067193486,0.0003562521147255805,False,0.04426978933639954,True,0.10965072163334356,0.14595911933468408,0.0013905618082053256,0.7588368017367666,0.0
0,7,True,True,5.441222479999993,0.09417050600001176,0.003082559868213097,0.0009285178067193486,0.00019460960510462924,False,0.034814234691003754,True,0.2578774057104347,0.1915735219476694,0.0020044002833034123,0.5251418112617766,0.0
1,1,True,True,4.969106709999991,0.10580293900000015,0.0005129611530452022,5.499758313656111e-06,1.0,True,1.0,True,8.661888612352032e-06,2.4697970144815787e-05,1.0448822246289013e-05,3.4853808907179324e-05,0.0
1,2,True,True,4.969106709999991,0.10580293900000015,0.0005129611530452022,5.499758313656111e-06,0.10138401877758665,True,0.20052709519772488,True,0.0002116328087898953,1.787793613416966e-05,0.00011337560277752878,0.00016461550213321875,0.0
1,3,True,True,4.969106709999991,0.10580293900000015,0.0005129611530452022,5.499758313656111e-06,0.00860195159333952,False,0.0875253136146625,True,0.0010015273406231652,0.00019050280055044055,0.00035529430020629985,0.0005295193376666882,0.0
1,4,True,True,4.969106709999991,0.10580293900000015,0.0005129611530452022,5.499758313656111e-06,0.0011444035143602519,False,0.05415311693973107,True,0.0017216074191777416,0.001838759671891399,0.0007447012704990772,0.0019190488814730218,0.0
1,5,True,True,4.969106709999991,0.10580293900000015,0.0005129611530452022,5.499758313656111e-06,0.0005172516499930389,False,0.03789739301478378,True,0.001243138150301828,0.0015809956419721163,0.001148849484262516,0.0032000275729356193,0.0
1,6,True,True,4.969106709999991,0.10580293900000015,0.0005129611530452022,5.499758313656111e-06,0.00013478157028632708,False,0.028036523231030987,True,0.005967801398107852,0.011695497677088664,0.001725000889758687,0.0038473904490755636,0.0
1,7,True,True,4.969106709999991,0.10580293900000015,0.0005129611530452022,5.499758313656111e-06,5.250106947764856e-05,False,0.02136026564010772,True,0.02083326455524811,0.01080874234386231,0.0024134469307142644,0.005412701709526948,0.0
2,1,True,True,5.661599394000007,0.10595754499999543,0.00397703143455181,0.0012471331254521542,1.0,True,1.0,True,1.5527494912374617e-05,2.1117617951649237e-05,7.175668331974502e-05,0.00017174457723394767,0.0
2,2,True,True,5.661599394000007,0.10595754499999543,0.00397703143455181,0.0012471331254521542,0.043770648320501815,True,0.22439722427507602,True,0.0003415238984352166,9.685986234644893e-06,0.00012097548038794497,0.00024372566504492045,0.0
2,3,True,True,5.661599394000007,0.10595754499999543,0.00397703143455181,0.0012471331254521542,0.01676334479643246,False,0.11631010064698298,True,0.002954817194398605,0.0014478792060677037,0.00033254551433431565,0.0006437217672586494,0.0
2,4,True,True,5.661599394000007,0.10595754499999543,0.00397703143455181,0.0012471331254521542,0.0034210420583581113,False,0.07432716543379722,True,0.006396821719697685,0.006934241233252841,0.0006900235727157061,0.0018026594937201042,0.0
2,5,True,True,5.661599394000007,0.10595754499999543,0.00397703143455181,0.0012471331254521542,0.0010282298767846133,False,0.053918948468018126,True,0.010838834752079805,0.01857489340770169,0.0010917766415272892,0.002650714940134096,0.0
2,6,True,True,5.661599394000007,0.10595754499999543,0.00397703143455181,0.0012471331254521542,8.447490806213363e-05,False,0.04086559064036642,True,0.13028077744414937,0.3485142088952947,0.0015925167388466514,0.004801954287394634,0.0
2,7,True,True,5.661599394000007,0.10595754499999543,0.00397703143455181,0.0012471331254521542,0.00011242660836063601,False,0.031036925599884916,True,0.06851590210252148,0.23710316701584733,0.002221705979640225,0.004747528739956404,0.0
3,1,True,True,5.163041031000006,0.1083844309999904,0.0002683082032035364,5.658362415535564e-06,1.0,True,1.0,True,5.8514316459562e-07,1.8693265548819227e-06,1.3029194288252618e-05,1.4757534593943567e-05,0.0
3,2,True,True,5.163041031000006,0.1083844309999904,0.0002683082032035364,5.658362415535564e-06,0.06292674682898033,True,0.3706986183225179,True,0.00012993555112532625,0.00030134361740641324,7.69918909374589e-05,9.116593021062185e-05,0.0
3,3,True,True,5.163041031000006,0.1083844309999904,0.0002683082032035364,5.658362415535564e-06,0.03384266170576386,True,0.14898797439782652,True,0.00032876081024422755,4.448483220387267e-05,0.00025393765248154365,0.00031855600015436524,0.0
3,4,True,True,5.163041031000006,0.1083844309999904,0.0002683082032035364,5.658362415535564e-06,0.004388009535738882,False,0.08729552818324196,True,0.0006964395521829696,0.0016641220777282584,0.0005294508062139455,0.003756336832376041,0.0
3,5,True,True,5.163041031000006,0.1083844309999904,0.0002683082032035364,5.658362415535564e-06,0.0010661728517786491,False,0.060207891029270794,True,0.004454580429047951,0.0007806953429601027,0.000829415409777326,0.0020229849692261492,0.0
3,6,True,True,5.163041031000006,0.1083844309999904,0.0002683082032035364,5.658362415535564e-06,0.00047169653575589035,False,0.04382033351765296,True,0.0014430314514085006,0.0034777589729397818,0.0013614593669153143,0.003242829112443975,0.0
3,7,True,True,5.163041031000006,0.1083844309999904,0.0002683082032035364,5.658362415535564e-06,0.00027601470534385265,False,0.03234308697237023,True,0.003021167395881895,0.009722703753036965,0.0018086954792247043,0.006115914573657146,0.0
4,1,True,True,6.951319735999988,0.10415458400001398,1.3853012250452867e-05,2.666565339438e-07,1.0,True,1.0,True,8.12399017828835e-06,5.028648632388055e-06,7.9787585790639e-06,3.075100943351566e-05,0.0
4,2,True,True,6.951319735999988,0.10415458400001398,1.3853012250452867e-05,2.666565339438e-07,0.21796094661059623,True,0.22468638605128077,True,3.102073936489015e-05,5.460468133211549e-05,5.9205452769220994e-05,0.00029368470856355224,0.0
