dataset_id,parameter,metric,n,spearman_rho,pvalue,interpretation
FT2,G_OH,global_phase_h2,501,-0.561184722189088,6.574165866603959e-43,association_not_causation
FT2,G_OH,global_phase_h3,501,0.2149110861941456,1.202708829479972e-06,association_not_causation
FT2,G_OH,lockin_amplitude_h1,501,0.4547915165684568,6.063958377594244e-27,association_not_causation
FT2,G_OH,lockin_amplitude_h2,501,0.5012644034639885,3.124525204844384e-33,association_not_causation
FT2,G_OH,lockin_amplitude_h3,501,0.548953312498509,8.994481992689081e-41,association_not_causation
FT2,G_OH,lockin_peak_shift_h1,501,-0.24975249590027854,1.4591997962233494e-08,association_not_causation
FT2,G_OH,lockin_peak_shift_h2,501,-0.09542179740330044,0.03273092713100417,association_not_causation
FT2,G_OH,lockin_peak_shift_h3,501,-0.18254365468738365,3.952151129271705e-05,association_not_causation
FT2,G_OH,lockin_phase_h1,501,-0.41751213111625357,1.4893609571344825e-22,association_not_causation
FT2,G_OH,lockin_phase_h2,501,-0.27784354796383337,2.476016767388168e-10,association_not_causation
FT2,G_OH,lockin_phase_h3,501,-0.4926763842832264,5.376585744143286e-32,association_not_causation
FT2,G_OH,lockin_valid_fraction,501,0.0,1.0,association_not_causation
FT2,G_OH,score,501,0.5382984469308395,5.550510206009099e-39,association_not_causation
FT2,G_O,dc_nrmse,501,-0.031230383853806335,0.48551831554479313,association_not_causation
FT2,G_O,global_amplitude_h1,501,0.2511370565641625,1.2069033158259124e-08,association_not_causation
FT2,G_O,global_amplitude_h2,501,0.12757907292983756,0.004234150538783335,association_not_causation
FT2,G_O,global_amplitude_h3,501,0.14452694610778444,0.0011789795585811116,association_not_causation
FT2,G_O,global_phase_h1,501,-0.11367053939928909,0.01089049243602118,association_not_causation
FT2,G_O,global_phase_h2,501,0.09786215616575615,0.02850686410900211,association_not_causation
FT2,G_O,global_phase_h3,501,0.014155974902784073,0.7519433221913348,association_not_causation
FT2,G_O,lockin_amplitude_h1,501,0.2216525037574254,5.405520132146178e-07,association_not_causation
FT2,G_O,lockin_amplitude_h2,501,0.21883264546604006,7.576391961489756e-07,association_not_causation
FT2,G_O,lockin_amplitude_h3,501,0.21146475177135773,1.7925395216241514e-06,association_not_causation
FT2,G_O,lockin_peak_shift_h1,501,-0.014653042238206118,0.7435334208614521,association_not_causation
FT2,G_O,lockin_peak_shift_h2,501,-0.028621025693693878,0.5227214539033856,association_not_causation
FT2,G_O,lockin_peak_shift_h3,501,-0.06338579346021525,0.15658615678364596,association_not_causation
FT2,G_O,lockin_phase_h1,501,-0.09941512989956343,0.026069938866885165,association_not_causation
FT2,G_O,lockin_phase_h2,501,0.1745146837798507,8.616169051329448e-05,association_not_causation
FT2,G_O,lockin_phase_h3,501,-0.08916554142710596,0.046066394283232615,association_not_causation
FT2,G_O,lockin_valid_fraction,501,0.0,1.0,association_not_causation
