dataset_id,channel,segment,ensemble_size,valid_candidate_count,signed_mean_median,signed_mean_q25,signed_mean_q75,positive_count,negative_count,direction_class,nearest_candidate_id,nearest_signed_mean,nearest_within_iqr
FT4,dc,low,1,1,0.0025980269399895335,0.0025980269399895335,0.0025980269399895335,1,0,smoke-only,249,0.0025980269399895335,True
FT4,dc,mid,1,1,0.12187968768374306,0.12187968768374306,0.12187968768374306,1,0,smoke-only,249,0.12187968768374306,True
FT4,global_amplitude_h1,global,1,1,0.46756339131222996,0.46756339131222996,0.46756339131222996,1,0,smoke-only,249,0.46756339131222996,True
FT4,global_amplitude_h2,global,1,1,0.3339038558354102,0.3339038558354102,0.3339038558354102,1,0,smoke-only,249,0.3339038558354102,True
FT4,global_amplitude_h3,global,1,1,-0.025812758555055045,-0.025812758555055045,-0.025812758555055045,0,1,smoke-only,249,-0.025812758555055045,True
FT4,global_phase_h1,global,1,1,-0.020789948051310514,-0.020789948051310514,-0.020789948051310514,0,1,smoke-only,249,-0.020789948051310514,True
FT4,global_phase_h2,global,1,1,-0.20307118688290338,-0.20307118688290338,-0.20307118688290338,0,1,smoke-only,249,-0.20307118688290338,True
FT4,global_phase_h3,global,1,1,-0.2660023807548133,-0.2660023807548133,-0.2660023807548133,0,1,smoke-only,249,-0.2660023807548133,True
FT4,lockin_amplitude_h1,high,1,0,,,,0,0,not-observable,249,,
FT4,lockin_amplitude_h1,low,1,0,,,,0,0,not-observable,249,,
FT4,lockin_amplitude_h1,mid,1,1,0.16905291473197143,0.16905291473197143,0.16905291473197143,1,0,smoke-only,249,0.16905291473197143,True
FT4,lockin_amplitude_h2,high,1,0,,,,0,0,not-observable,249,,
FT4,lockin_amplitude_h2,low,1,0,,,,0,0,not-observable,249,,
FT4,lockin_amplitude_h2,mid,1,1,0.1522589797195817,0.1522589797195817,0.1522589797195817,1,0,smoke-only,249,0.1522589797195817,True
FT4,lockin_amplitude_h3,high,1,0,,,,0,0,not-observable,249,,
FT4,lockin_amplitude_h3,low,1,0,,,,0,0,not-observable,249,,
FT4,lockin_amplitude_h3,mid,1,1,0.006904747936657779,0.006904747936657779,0.006904747936657779,1,0,smoke-only,249,0.006904747936657779,True
FT4,lockin_phase_h1,high,1,0,,,,0,0,not-observable,249,,
FT4,lockin_phase_h1,low,1,0,,,,0,0,not-observable,249,,
FT4,lockin_phase_h1,mid,1,1,-0.014195148924791937,-0.014195148924791937,-0.014195148924791937,0,1,smoke-only,249,-0.014195148924791937,True
FT4,lockin_phase_h2,high,1,0,,,,0,0,not-observable,249,,
FT4,lockin_phase_h2,low,1,0,,,,0,0,not-observable,249,,
FT4,lockin_phase_h2,mid,1,1,0.045026965242749316,0.045026965242749316,0.045026965242749316,1,0,smoke-only,249,0.045026965242749316,True
FT4,lockin_phase_h3,high,1,0,,,,0,0,not-observable,249,,
FT4,lockin_phase_h3,low,1,0,,,,0,0,not-observable,249,,
FT4,lockin_phase_h3,mid,1,1,-0.29398749812126945,-0.29398749812126945,-0.29398749812126945,0,1,smoke-only,249,-0.29398749812126945,True
FT8,dc,high,1,1,0.04996320208940968,0.04996320208940968,0.04996320208940968,1,0,smoke-only,226,0.04996320208940968,True
FT8,dc,low,1,1,-0.006107238028087384,-0.006107238028087384,-0.006107238028087384,0,1,smoke-only,226,-0.006107238028087384,True
