dataset,parameter,mean,median,std,q2.5,q97.5,rhat,provenance,lower_source,upper_source,bound_note
FT3,E0_eff,1.79307,1.79238,0.00513442,1.78768,1.79982,815732364313.1010,fitted,measured,measured,本项目四组数据 H3/H4 包络实测特征 1.52-1.63 V，两侧各留出 EC' 催化步引起的正移余量
FT3,log10_k0,0.580257,0.586308,0.0976775,0.436898,0.711513,5349090366575.1865,fitted,literature,literature,覆盖 Snitkoff-Sol 2022 的 6 s^-1 与 Bonke 2016 的 110-325 s^-1
FT3,log10_kf,1.96103,2.01596,0.383638,1.44025,2.37194,18871857245209.9766,fitted,literature,literature,覆盖 Bonke 2016 的 kf1 = 2e3-4e4 s^-1
FT3,log10_gamma,-8.04654,-8.02875,0.0466876,-8.12411,-8.00455,1462154680259.0266,fitted,literature,engineering,下界取 Bonke 2016 的 pmol/cm^2 量级；上界放宽到本项目此前假设的 1e-8，属工程边界，无独立标定支持
FT3,Ru,10,10,0,10,10,,engineering,,,钉住参数，非拟合量
FT3,A,1,1,0,1,1,,engineering,,,钉住参数，非拟合量
FT3,Cdl,1.69e-05,1.69e-05,0,1.69e-05,1.69e-05,,derived_from_data,,,钉住参数，非拟合量
FT3,alpha,0.5,0.5,0,0.5,0.5,,literature,,,钉住参数，非拟合量
