sample,harmonic,lsoda_success,cn_success,lsoda_time_s,cn_time_s,current_nrmse,dc_nrmse,global_relative_strength,global_resolved,lockin_relative_strength,lockin_resolved,global_amplitude_relative_error,global_phase_error_rad,lockin_amplitude_nrmse,lockin_phase_rmse_rad,peak_shift_v
0,1,True,True,5.644131616999857,0.1507437430000209,0.0005931971117923652,4.7372749923827145e-05,1.0,True,1.0,True,2.143828705121356e-06,2.302546433274877e-05,1.1462744769346978e-05,4.427343572939051e-05,0.0
0,2,True,True,5.644131616999857,0.1507437430000209,0.0005931971117923652,4.7372749923827145e-05,0.08111503095666962,True,0.26177329852985654,True,5.0504953953530606e-05,8.987498681323203e-05,2.8153843455463493e-05,0.24775717811489376,0.0
0,3,True,True,5.644131616999857,0.1507437430000209,0.0005931971117923652,4.7372749923827145e-05,0.040659371828019215,True,0.12972279552329838,True,4.6227431876124526e-05,3.343549093903775e-05,8.503520573540122e-05,0.45085984274356516,0.0
0,4,True,True,5.644131616999857,0.1507437430000209,0.0005931971117923652,4.7372749923827145e-05,0.004894003998561508,False,0.08603793142506619,True,0.00012127054285551976,0.0006236837332932454,0.000173173944321512,0.21644916193964073,0.0
0,5,True,True,5.644131616999857,0.1507437430000209,0.0005931971117923652,4.7372749923827145e-05,0.0014531591163046383,False,0.05891966292112359,True,0.0008653360867313047,0.0009707553097528798,0.0002674656119614843,0.5785989927742569,0.0
0,6,True,True,5.644131616999857,0.1507437430000209,0.0005931971117923652,4.7372749923827145e-05,0.00031830783287529796,False,0.04423838645187493,True,0.0026375736596691386,0.004507955520824392,0.00038326431313028507,0.9507320414867846,0.0
0,7,True,True,5.644131616999857,0.1507437430000209,0.0005931971117923652,4.7372749923827145e-05,0.0002456281830930492,False,0.034782632953920985,True,0.004181970881999032,0.0017732948399343253,0.0005301933051290762,0.7362426072085173,0.0
1,1,True,True,5.266814177000015,0.174574180000036,0.00010732409227016305,2.739059259196593e-06,1.0,True,1.0,True,1.6076405497408644e-07,7.238723145563952e-06,3.0062064746163224e-06,1.0263210705062906e-05,0.0
1,2,True,True,5.266814177000015,0.174574180000036,0.00010732409227016305,2.739059259196593e-06,0.10132270540098325,True,0.2005275455543374,True,5.400765826562123e-05,5.69879405665219e-06,2.754581169222478e-05,0.00013367541583419687,0.0
1,3,True,True,5.266814177000015,0.174574180000036,0.00010732409227016305,2.739059259196593e-06,0.00869775556862253,False,0.08752565300577664,True,0.00016902695426068858,5.339758510913839e-06,8.854747265288824e-05,0.0001274498390336864,0.0
