dataset,parameter,E0_eff,log10_k0,log10_kf,log10_gamma
FT2,E0_eff,1.0000,-0.9459,-0.7705,0.9964
FT2,log10_k0,-0.9459,1.0000,0.9266,-0.9545
FT2,log10_kf,-0.7705,0.9266,1.0000,-0.7761
FT2,log10_gamma,0.9964,-0.9545,-0.7761,1.0000
