dataset,high_weight,Ru,best,level,bias_lo,bias_hi,abs_bias_hi,rmse_hi,G_OH,G_O,scaling_OOH_OH,gamma
ftacv2-ref-5hz.txt,0.0,30.0,13274.563656079745,poor,0.0018836027201635478,-0.21649324194899017,0.21649324194899017,0.273962795473271,1.7767852842594691,3.289197754339021,2.812475839726765,3e-09
ftacv2-ref-5hz.txt,2.0,30.0,12826.514398179666,poor,0.0018836027201635478,-0.21649324194899017,0.21649324194899017,0.273962795473271,1.7767852842594691,3.289197754339021,2.812475839726765,3e-09
ftacv2-ref-5hz.txt,5.0,30.0,12434.471297517099,poor,0.0018836027201635478,-0.21649324194899017,0.21649324194899017,0.273962795473271,1.7767852842594691,3.289197754339021,2.812475839726765,3e-09
ftacv2-ref-5hz.txt,10.0,30.0,12088.55091457954,poor,0.0018836027201635478,-0.21649324194899017,0.21649324194899017,0.273962795473271,1.7767852842594691,3.289197754339021,2.812475839726765,3e-09
ftacv3-ref-5Hz.txt,0.0,30.0,11941.636920215891,poor,-0.012511681799214492,-0.07469727089926208,0.07469727089926208,0.16662597224300657,1.1117110760894109,2.824081625413373,3.2373682234746237,3e-09
ftacv3-ref-5Hz.txt,2.0,30.0,9719.635569836802,poor,-0.012511681799214492,-0.07469727089926208,0.07469727089926208,0.16662597224300657,1.1117110760894109,2.824081625413373,3.2373682234746237,3e-09
ftacv3-ref-5Hz.txt,5.0,30.0,8053.1345570524845,poor,-0.012511681799214492,-0.07469727089926208,0.07469727089926208,0.16662597224300657,1.1117110760894109,2.824081625413373,3.2373682234746237,3e-09
ftacv3-ref-5Hz.txt,10.0,30.0,6756.967102664684,poor,-0.012511681799214492,-0.07469727089926208,0.07469727089926208,0.16662597224300657,1.1117110760894109,2.824081625413373,3.2373682234746237,3e-09
ftacv4-ref-1hz.txt,0.0,30.0,4662.748562578837,poor,-0.021010757274473074,0.05968414454081201,0.05968414454081201,0.16175926825555215,1.1117110760894109,2.824081625413373,3.2373682234746237,3e-09
ftacv4-ref-1hz.txt,2.0,30.0,4451.937296123669,poor,-0.021010757274473074,0.05968414454081201,0.05968414454081201,0.16175926825555215,1.1117110760894109,2.824081625413373,3.2373682234746237,3e-09
ftacv4-ref-1hz.txt,5.0,30.0,3674.6855289719433,poor,-0.016162041213140833,0.020740703517464473,0.020740703517464473,0.1136970842915119,1.7767852842594691,3.289197754339021,2.812475839726765,3e-09
ftacv4-ref-1hz.txt,10.0,30.0,3096.1417014675203,poor,-0.016162041213140833,0.020740703517464473,0.020740703517464473,0.1136970842915119,1.7767852842594691,3.289197754339021,2.812475839726765,3e-09
ftacv8-ref-5Hz.txt,0.0,30.0,9810.205477340742,poor,-0.03293194049088112,-0.05437637346348999,0.05437637346348999,0.17738646628233282,1.1117110760894109,2.824081625413373,3.2373682234746237,3e-09
ftacv8-ref-5Hz.txt,2.0,30.0,8537.62754876055,poor,-0.03293194049088112,-0.05437637346348999,0.05437637346348999,0.17738646628233282,1.1117110760894109,2.824081625413373,3.2373682234746237,3e-09
ftacv8-ref-5Hz.txt,5.0,30.0,7496.427425376759,poor,-0.03293194049088112,-0.05437637346348999,0.05437637346348999,0.17738646628233282,1.1117110760894109,2.824081625413373,3.2373682234746237,3e-09
ftacv8-ref-5Hz.txt,10.0,30.0,6628.760655890265,poor,-0.03293194049088112,-0.05437637346348999,0.05437637346348999,0.17738646628233282,1.1117110760894109,2.824081625413373,3.2373682234746237,3e-09
