dataset,parameter,E0_eff,log10_k0,log10_kf,log10_gamma
FT8,E0_eff,1.0000,0.8695,0.7517,-0.5727
FT8,log10_k0,0.8695,1.0000,0.9710,-0.8916
FT8,log10_kf,0.7517,0.9710,1.0000,-0.9328
FT8,log10_gamma,-0.5727,-0.8916,-0.9328,1.0000
