dataset,parameter,E0_eff,log10_k0,log10_kf,log10_gamma
FT4,E0_eff,1.0000,0.4297,0.2065,0.1904
FT4,log10_k0,0.4297,1.0000,0.2649,-0.8046
FT4,log10_kf,0.2065,0.2649,1.0000,-0.1605
FT4,log10_gamma,0.1904,-0.8046,-0.1605,1.0000
