profile_id,feature_mode,parameter,truth_id,normalized_coordinate,truth_coordinate,is_truth,physical_value,total_loss,ode_success,tafel_failed,runtime_seconds,dc,common_harmonics,dataset_specific_harmonics,phase,lockin_common_amplitude,lockin_dataset_specific_amplitude,lockin_common_phase,lockin_dataset_specific_phase,physical
complex_snr__G_O,complex_snr,G_O,mixed_b,0.0,0.4000000000000001,False,2.2,77.56458152897095,True,True,6.467517498000234,270.5211562966281,17.214670209684407,0.0,0.08708113854228572,0.0,0.0,0.0,0.0,100.0
complex_snr__G_O,complex_snr,G_O,mixed_b,0.025,0.4000000000000001,False,2.23,76.80566631887524,True,True,6.295632821995241,266.72845620956696,17.21373768812459,0.0,0.08613769668466319,0.0,0.0,0.0,0.0,100.0
complex_snr__G_O,complex_snr,G_O,mixed_b,0.05,0.4000000000000001,False,2.2600000000000002,75.2343372296332,True,True,6.329983757997979,258.87435150422255,17.21185353349993,0.0,0.08548111044345752,0.0,0.0,0.0,0.0,100.0
complex_snr__G_O,complex_snr,G_O,mixed_b,0.07500000000000001,0.4000000000000001,False,2.29,1000000000.0,False,False,6.055508710996946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000.0
complex_snr__G_O,complex_snr,G_O,mixed_b,0.1,0.4000000000000001,False,2.3200000000000003,67.52274956512183,True,True,6.711944458002108,220.32758181853785,17.20250709852004,0.0,0.08365890855127275,0.0,0.0,0.0,0.0,100.0
complex_snr__G_O,complex_snr,G_O,mixed_b,0.125,0.4000000000000001,False,2.35,60.105423890980134,True,True,6.677965220995247,183.2534011833252,17.19152204335936,0.0,0.08219622821615476,0.0,0.0,0.0,0.0,100.0
complex_snr__G_O,complex_snr,G_O,mixed_b,0.15000000000000002,0.4000000000000001,False,2.3800000000000003,49.99402711599373,True,True,6.6196978539956035,132.7191340127036,17.17125213702201,0.0,0.07974943024304282,0.0,0.0,0.0,0.0,100.0
complex_snr__G_O,complex_snr,G_O,mixed_b,0.17500000000000002,0.4000000000000001,False,2.41,40.722882535493966,True,True,6.457322305999696,86.40637921661079,17.132416029133125,0.0,0.07561743172591634,0.0,0.0,0.0,0.0,100.0
complex_snr__G_O,complex_snr,G_O,mixed_b,0.2,0.4000000000000001,False,2.44,30.60445393426236,True,True,6.906491638001171,35.89951846118027,17.053946802237697,0.0,0.06880440789381181,0.0,0.0,0.0,0.0,100.0
complex_snr__G_O,complex_snr,G_O,mixed_b,0.225,0.4000000000000001,False,2.47,26.96795790437725,True,True,7.169311352998193,17.89358248360444,16.888054424358263,0.0,0.05815261392353391,0.0,0.0,0.0,0.0,100.0
complex_snr__G_O,complex_snr,G_O,mixed_b,0.25,0.4000000000000001,False,2.5,25.60748828852354,True,True,7.044754531998478,11.471958566254076,16.522276144217276,0.0,0.04320673214635234,0.0,0.0,0.0,0.0,100.0
complex_snr__G_O,complex_snr,G_O,mixed_b,0.275,0.4000000000000001,False,2.5300000000000002,24.832349851307946,True,True,7.907323996994819,8.41346758738139,15.7221129612574,0.0,0.026168707900947046,0.0,0.0,0.0,0.0,100.0
complex_snr__G_O,complex_snr,G_O,mixed_b,0.30000000000000004,0.4000000000000001,False,2.56,4.052411934262458,True,False,8.01859661799972,6.14225474370706,14.107696232556572,0.0,0.012108249860092056,0.0,0.0,0.0,0.0,4.4518856392212475e-07
